Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC
2017;1º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;3;4;7;15653;14377;3090;2846
2017;1º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);50,22;16;42;75;133;318590;27202;302079;3257
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;178402; ;178402; 
2017;1º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);31,2;15;22;34;71;480685;268776;213888;0
2017;1º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;2;2;6870;1052;5822;89
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;119163; ;119163; 
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;0;3;4;7;108228;6212;102328;2005
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;0;0;1;6047;398;5683;235
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;997185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.; ;0;0;1;1;770;770; ;35
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S.A.; ;1;57;16;74;36673;4008;32796;1782
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.; ;12;27;39;78;1574006; ;1574006; 
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;2;2;4;27266;1579;26225; 
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;8357240;BANCO CSF S.A.;7,87;25;33;77;135;3175885; ;3175885; 
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.; ;0;3;11;14;504862;420227;179261;278867
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;1;0;2;3;44774;1;44773; 
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;19,28;18;21;8;47;933585;829607;370852;626597
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.; ;8;19;19;46;659539;650178;205378;578340
2017;1º;Mais de quatro milhões de clientes;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;0,5;3;12;29;44;5908110;5728770;1015309;4408404
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;1;5;10;16;174487;4284;170648;1328
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;2;0;2;4;31223;637;30590;43
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;0;4;4;4033;367;3677; 
2017;1º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;1;0;1;349;83;270; 
